velocity,Distance,Speed,SR,SplitD
3.58,0.04972222222,0.03252704248,,0.04972222222
3.58,0.09944444444,0.1532946787,,0.04972222222
3.62,0.1497222222,0.3686718954,,0.05027777778
3.66,0.2005555556,0.6481916331,,0.05083333333
3.69,0.2518055556,0.9669699878,,0.05125
3.71,0.3033333333,1.304665061,,0.05152777778
3.68,0.3544444444,1.644622736,,0.05111111111
3.66,0.4052777778,1.973375261,,0.05083333333
3.67,0.45625,2.281240079,,0.05097222222
3.69,0.5075,2.562449191,,0.05125
3.7,0.5588888889,2.814013499,,0.05138888889
3.68,0.61,3.034407581,,0.05111111111
3.61,0.6601388889,3.222531152,,0.05013888889
3.55,0.7094444444,3.377642414,,0.04930555556
3.55,0.75875,3.500657967,,0.04930555556
3.56,0.8081944444,3.594702977,,0.04944444444
3.57,0.8577777778,3.663898496,,0.04958333333
3.56,0.9072222222,3.712144188,,0.04944444444
3.5,0.9558333333,3.742305267,,0.04861111111
3.44,1.003611111,3.756095258,,0.04777777778
3.45,1.051527778,3.75557459,,0.04791666667
3.46,1.099583333,3.744078999,,0.04805555556
3.44,1.147361111,3.724869846,,0.04777777778
3.41,1.194722222,3.700034814,,0.04736111111
3.4,1.241944444,3.671069842,,0.04722222222
3.39,1.289027778,3.639518327,,0.04708333333
3.38,1.335972222,3.606812272,,0.04694444444
3.37,1.382777778,3.574066466,,0.04680555556
3.36,1.429444444,3.54211753,,0.04666666667
3.35,1.475972222,3.511563286,,0.04652777778
3.33,1.522222222,3.482710066,,0.04625
3.32,1.568333333,3.455634688,,0.04611111111
3.29,1.614027778,3.430239235,,0.04569444444
3.26,1.659305556,3.406116721,,0.04527777778
3.25,1.704444444,3.382915979,,0.04513888889
3.25,1.749583333,3.360794708,,0.04513888889
3.26,1.794861111,3.340286112,,0.04527777778
3.28,1.840416667,3.322094476,,0.04555555556
3.29,1.886111111,3.306844949,,0.04569444444
3.3,1.931944444,3.294808096,,0.04583333333
3.28,1.9775,3.285706432,,0.04555555556
3.26,2.022777778,3.278680249,,0.04527777778
3.29,2.068472222,3.273191757,,0.04569444444
3.32,2.114583333,3.269690747,,0.04611111111
3.29,2.160277778,3.268351103,,0.04569444444
3.26,2.205555556,3.268134255,,0.04527777778
3.23,2.250416667,3.267676172,,0.04486111111
3.22,2.295138889,3.266145433,,0.04472222222
3.2,2.339583333,3.263230709,,0.04444444444
3.19,2.383888889,3.258839912,,0.04430555556
3.14,2.4275,3.252685127,,0.04361111111
3.1,2.470555556,3.244069615,,0.04305555556
3.11,2.51375,3.232833393,,0.04319444444
3.13,2.557222222,3.220042146,,0.04347222222
3.09,2.600138889,3.206641633,,0.04291666667
3.08,2.642916667,3.192635683,,0.04277777778
3.16,2.686805556,3.178866885,,0.04388888889
3.26,2.732083333,3.168047598,,0.04527777778
3.3,2.777916667,3.16273868,,0.04583333333
3.32,2.824027778,3.163568122,,0.04611111111
3.29,2.869722222,3.169420449,,0.04569444444
3.28,2.915277778,3.178368847,,0.04555555556
3.31,2.96125,3.189129835,,0.04597222222
3.37,3.008055556,3.201857127,,0.04680555556
3.5,3.056666667,3.218139003,,0.04861111111
3.59,3.106527778,3.240217336,,0.04986111111
3.52,3.155416667,3.268016455,,0.04888888889
3.43,3.203055556,3.297819164,,0.04763888889
3.46,3.251111111,3.326040935,,0.04805555556
3.52,3.3,3.352325205,,0.04888888889
3.59,3.349861111,3.378201553,,0.04986111111
3.61,3.4,3.404830736,,0.05013888889
3.49,3.448472222,3.430965286,,0.04847222222
3.35,3.495,3.452508581,,0.04652777778
3.26,3.540277778,3.46537722,,0.04527777778
3.21,3.584861111,3.467917552,,0.04458333333
3.24,3.629861111,3.461174068,,0.045
3.29,3.675555556,3.44826555,,0.04569444444
3.32,3.721666667,3.432661163,,0.04611111111
3.34,3.768055556,3.416785344,,0.04638888889
3.35,3.814583333,3.402010011,,0.04652777778
3.38,3.861527778,3.389232124,,0.04694444444
3.5,3.910138889,3.38014137,,0.04861111111
3.62,3.960416667,3.37768678,,0.05027777778
3.64,4.010972222,3.383745676,,0.05055555556
3.65,4.061666667,3.397507095,,0.05069444444
3.7,4.113055556,3.417356685,,0.05138888889
3.75,4.165138889,3.442499744,,0.05208333333
3.77,4.2175,3.472239374,,0.05236111111
3.78,4.27,3.505250415,,0.0525
3.8,4.322777778,3.540057758,,0.05277777778
3.82,4.375833333,3.575581854,,0.05305555556
3.82,4.428888889,3.61089702,,0.05305555556
3.81,4.481805556,3.644863056,,0.05291666667
3.83,4.535,3.676583918,,0.05319444444
3.83,4.588194444,3.70574248,,0.05319444444
3.8,4.640972222,3.731830846,,0.05277777778
3.75,4.693055556,3.753671514,,0.05208333333
